,label_value,score,sex,age_cat,race
121,1,9,Male,25 - 45,African-American
122,0,9,Male,Greater than 45,African-American
123,0,9,Male,Greater than 45,Caucasian
124,1,10,Male,25 - 45,African-American
125,0,1,Female,Greater than 45,Caucasian
126,1,6,Male,Less than 25,Caucasian
127,0,3,Male,25 - 45,Caucasian
128,0,4,Female,25 - 45,Caucasian
129,0,2,Male,25 - 45,Caucasian
130,0,1,Male,25 - 45,Caucasian
131,0,2,Female,25 - 45,Other
132,1,2,Male,25 - 45,Caucasian
133,0,2,Female,Less than 25,African-American
134,1,4,Female,25 - 45,Caucasian
135,1,2,Male,25 - 45,Caucasian
136,1,5,Female,25 - 45,Hispanic
137,1,7,Male,25 - 45,African-American
138,1,3,Male,25 - 45,Caucasian
139,0,2,Male,25 - 45,African-American
140,1,2,Male,Greater than 45,Caucasian
141,0,4,Female,Greater than 45,Caucasian
142,0,10,Female,Less than 25,African-American
143,0,1,Female,25 - 45,Caucasian
144,1,8,Male,25 - 45,African-American
145,1,6,Male,25 - 45,African-American
146,1,5,Male,25 - 45,African-American
147,1,3,Female,25 - 45,African-American
148,1,9,Female,25 - 45,African-American
149,1,9,Male,25 - 45,African-American
150,0,6,Female,Less than 25,African-American
151,0,6,Female,25 - 45,Caucasian
152,1,1,Female,Greater than 45,African-American
153,1,7,Male,Greater than 45,Other
154,0,1,Male,Greater than 45,Hispanic
155,1,10,Female,25 - 45,African-American
156,0,4,Male,25 - 45,Hispanic
157,0,2,Female,Greater than 45,Other
158,1,4,Female,25 - 45,African-American
159,0,1,Male,Greater than 45,African-American
160,0,4,Male,25 - 45,Caucasian
161,1,7,Female,25 - 45,Caucasian
162,0,7,Male,25 - 45,African-American
163,0,2,Male,Greater than 45,Caucasian
164,0,2,Male,Less than 25,African-American
165,1,1,Male,Greater than 45,Caucasian
166,0,6,Female,Greater than 45,Caucasian
167,0,5,Male,25 - 45,Caucasian
168,1,2,Male,25 - 45,African-American
169,0,3,Male,Less than 25,Hispanic
170,0,7,Female,25 - 45,African-American
171,0,1,Male,Greater than 45,Hispanic
172,0,4,Male,Greater than 45,African-American
173,0,10,Female,25 - 45,Caucasian
174,0,1,Male,Greater than 45,Caucasian
175,1,9,Male,25 - 45,Hispanic
176,1,6,Male,25 - 45,African-American
177,0,1,Male,Greater than 45,Hispanic
178,0,2,Male,Greater than 45,Hispanic
179,1,1,Male,Greater than 45,Caucasian
180,0,1,Male,Greater than 45,Caucasian
181,0,2,Male,Less than 25,Other
182,1,8,Male,25 - 45,African-American
183,1,5,Male,Less than 25,African-American
184,1,8,Male,Greater than 45,African-American
185,1,2,Male,Less than 25,African-American
186,0,1,Male,Greater than 45,Hispanic
187,1,5,Female,25 - 45,Caucasian
188,0,1,Male,Greater than 45,African-American
189,1,4,Male,Greater than 45,Caucasian
190,1,3,Female,Greater than 45,Other
191,1,10,Male,25 - 45,African-American
192,1,9,Male,25 - 45,African-American
193,1,4,Male,25 - 45,Caucasian
194,1,9,Male,25 - 45,African-American
195,0,3,Male,Greater than 45,Caucasian
196,1,3,Male,Less than 25,African-American
197,0,2,Male,25 - 45,African-American
198,0,4,Female,Less than 25,African-American
199,1,3,Male,25 - 45,Other
200,0,1,Male,Greater than 45,Caucasian
201,0,3,Female,25 - 45,Caucasian
202,0,4,Male,25 - 45,Caucasian
203,1,9,Female,25 - 45,African-American
204,1,5,Male,Less than 25,Other
205,1,10,Male,25 - 45,African-American
206,0,2,Male,25 - 45,African-American
207,0,8,Female,25 - 45,African-American
208,1,5,Male,25 - 45,Caucasian
209,1,9,Female,25 - 45,Caucasian
210,0,1,Male,25 - 45,African-American
211,0,4,Male,25 - 45,Caucasian
212,0,9,Female,25 - 45,African-American
213,1,1,Male,Greater than 45,Caucasian
214,0,9,Male,25 - 45,African-American
215,0,5,Male,25 - 45,African-American
216,0,6,Male,Greater than 45,African-American
217,0,2,Male,25 - 45,Hispanic
218,0,1,Male,Greater than 45,Caucasian
219,1,1,Female,Greater than 45,Caucasian
220,0,2,Male,Greater than 45,Caucasian
221,1,1,Male,25 - 45,Other
222,0,1,Male,Greater than 45,African-American
223,1,3,Male,25 - 45,Caucasian
224,0,7,Female,25 - 45,African-American
225,0,6,Female,25 - 45,African-American
226,1,10,Male,25 - 45,African-American
227,0,1,Male,25 - 45,African-American
228,1,4,Male,25 - 45,Other
229,0,9,Male,Greater than 45,African-American
230,0,9,Male,Less than 25,African-American
231,1,4,Female,25 - 45,African-American
232,0,1,Male,25 - 45,African-American
233,0,1,Male,Greater than 45,Caucasian
234,1,4,Male,25 - 45,Caucasian
235,0,4,Male,Greater than 45,African-American
236,0,1,Male,25 - 45,Caucasian
237,1,9,Male,25 - 45,African-American
238,0,5,Male,25 - 45,Caucasian
239,0,4,Male,Less than 25,African-American
240,0,2,Male,25 - 45,African-American
241,0,4,Male,25 - 45,Hispanic
242,1,8,Male,25 - 45,Caucasian
243,1,2,Male,25 - 45,Caucasian
244,0,9,Male,25 - 45,African-American
245,0,8,Male,25 - 45,African-American
246,0,1,Male,Greater than 45,Caucasian
247,1,8,Male,25 - 45,African-American
248,1,5,Male,25 - 45,Caucasian
249,0,3,Male,25 - 45,African-American
250,1,8,Male,Less than 25,Caucasian
251,0,1,Female,25 - 45,Other
252,0,2,Female,25 - 45,Other
253,1,7,Male,25 - 45,Caucasian
254,0,2,Male,25 - 45,Caucasian
255,1,9,Male,Less than 25,African-American
256,1,7,Female,Less than 25,Caucasian
257,1,2,Male,25 - 45,African-American
258,0,2,Female,25 - 45,Hispanic
259,1,6,Male,Less than 25,Hispanic
260,1,5,Female,Less than 25,Caucasian
261,0,8,Male,Less than 25,Hispanic
262,0,3,Male,25 - 45,African-American
263,1,8,Male,Less than 25,African-American
264,1,6,Male,25 - 45,African-American
265,0,1,Male,25 - 45,Other
266,0,4,Male,25 - 45,African-American
267,0,4,Male,25 - 45,Caucasian
268,0,1,Female,25 - 45,African-American
269,0,8,Male,Less than 25,African-American
270,0,7,Male,Less than 25,Hispanic
271,0,1,Female,Greater than 45,African-American
272,1,4,Female,Less than 25,African-American
273,0,2,Female,Greater than 45,African-American
274,1,6,Male,Greater than 45,African-American
275,0,5,Male,25 - 45,Caucasian
276,1,6,Male,25 - 45,Caucasian
277,1,7,Male,25 - 45,African-American
278,1,10,Male,Less than 25,African-American
279,0,3,Female,Less than 25,Caucasian
280,0,10,Male,25 - 45,African-American
281,0,4,Male,25 - 45,Caucasian
282,0,3,Female,25 - 45,African-American
283,0,2,Female,25 - 45,Other
284,0,7,Male,25 - 45,African-American
285,1,6,Male,Greater than 45,African-American
286,0,1,Male,25 - 45,African-American
287,0,1,Male,25 - 45,Caucasian
288,1,4,Male,25 - 45,African-American
289,0,1,Male,Greater than 45,Caucasian
290,1,2,Male,Greater than 45,Caucasian
291,0,4,Male,Greater than 45,Caucasian
292,1,9,Male,Less than 25,African-American
293,1,8,Male,25 - 45,African-American
294,1,1,Male,25 - 45,Hispanic
295,0,4,Male,25 - 45,Caucasian
296,1,5,Male,Less than 25,African-American
297,0,4,Male,25 - 45,African-American
298,1,5,Male,Less than 25,Caucasian
299,1,4,Male,25 - 45,African-American
300,0,1,Male,25 - 45,African-American
301,1,3,Male,25 - 45,African-American
302,0,3,Male,Less than 25,Other
303,1,3,Male,25 - 45,Caucasian
304,0,3,Male,Greater than 45,Caucasian
305,0,6,Female,Less than 25,African-American
306,0,5,Male,Less than 25,African-American
307,1,8,Male,Less than 25,African-American
308,0,1,Male,Greater than 45,Caucasian
309,1,8,Male,25 - 45,African-American
310,0,3,Male,25 - 45,Caucasian
311,1,2,Male,25 - 45,Other
312,0,1,Female,25 - 45,African-American
313,0,3,Male,Less than 25,Hispanic
314,0,1,Male,25 - 45,African-American
315,1,1,Male,25 - 45,Caucasian
316,1,3,Male,25 - 45,Caucasian
317,0,2,Female,25 - 45,Caucasian
318,1,10,Male,Less than 25,Other
319,0,2,Male,25 - 45,African-American
320,1,10,Male,Less than 25,African-American
321,0,1,Female,Greater than 45,Caucasian
322,0,1,Male,Greater than 45,Caucasian
323,0,9,Male,25 - 45,African-American
324,1,9,Male,Less than 25,African-American
325,0,1,Male,Greater than 45,Caucasian
326,0,5,Male,25 - 45,Caucasian
327,1,9,Male,Less than 25,African-American
328,1,6,Male,Greater than 45,Caucasian
329,1,3,Male,25 - 45,Caucasian
330,0,1,Male,Greater than 45,African-American
331,0,5,Male,Less than 25,Hispanic
332,0,7,Female,25 - 45,African-American
333,1,4,Female,25 - 45,Caucasian
334,0,3,Female,Less than 25,Hispanic
335,0,5,Male,25 - 45,Caucasian
336,1,8,Female,Less than 25,African-American
337,0,3,Male,25 - 45,Caucasian
338,0,3,Male,Less than 25,African-American
339,1,6,Male,25 - 45,African-American
340,1,2,Male,25 - 45,Other
341,0,1,Male,25 - 45,African-American
342,0,6,Female,25 - 45,Caucasian
343,0,1,Male,Greater than 45,Hispanic
344,0,1,Male,25 - 45,Other
345,0,6,Female,25 - 45,African-American
346,1,9,Male,25 - 45,African-American
347,0,6,Male,Less than 25,African-American
348,0,3,Male,Greater than 45,African-American
349,1,3,Female,25 - 45,Hispanic
350,0,1,Male,25 - 45,Caucasian
351,1,10,Male,Less than 25,African-American
352,0,8,Male,25 - 45,Hispanic
353,0,1,Male,25 - 45,Other
354,0,6,Female,Less than 25,Caucasian
355,0,1,Male,Greater than 45,Caucasian
356,0,6,Male,Less than 25,Caucasian
357,1,10,Male,25 - 45,African-American
358,0,4,Male,Less than 25,Caucasian
359,1,5,Female,Less than 25,African-American
360,0,5,Male,Greater than 45,African-American
361,0,4,Male,25 - 45,African-American
362,0,1,Female,Greater than 45,Caucasian
363,0,10,Female,25 - 45,African-American
364,1,10,Male,Less than 25,African-American
365,1,5,Male,25 - 45,Hispanic
366,0,4,Female,Less than 25,Other
367,0,3,Male,25 - 45,Hispanic
368,0,4,Male,25 - 45,Caucasian
369,0,3,Male,Less than 25,African-American
370,1,6,Male,Less than 25,Caucasian
371,0,8,Male,Greater than 45,African-American
372,1,9,Male,Less than 25,African-American
373,1,5,Male,Less than 25,African-American
374,0,1,Male,25 - 45,Caucasian
375,1,1,Female,Greater than 45,Caucasian
376,1,7,Male,25 - 45,Caucasian
377,1,8,Male,25 - 45,African-American
378,0,1,Female,Greater than 45,Caucasian
379,0,4,Female,Less than 25,African-American
380,0,1,Male,25 - 45,African-American
381,0,3,Male,25 - 45,African-American
382,0,4,Male,Less than 25,Caucasian
383,1,8,Male,25 - 45,African-American
384,1,9,Male,Less than 25,African-American
385,0,7,Male,Less than 25,Caucasian
386,1,9,Male,25 - 45,African-American
387,0,5,Male,25 - 45,African-American
388,0,1,Male,Greater than 45,African-American
389,0,1,Male,Greater than 45,African-American
390,0,4,Male,25 - 45,African-American
391,1,8,Male,Greater than 45,Caucasian
392,0,1,Female,Greater than 45,Caucasian
393,1,8,Male,25 - 45,African-American
394,0,9,Male,25 - 45,African-American
395,0,3,Male,25 - 45,Caucasian
396,0,2,Female,25 - 45,Hispanic
397,1,10,Male,Greater than 45,Caucasian
398,1,7,Male,25 - 45,African-American
399,0,5,Male,25 - 45,African-American
400,1,9,Male,Less than 25,African-American
401,0,7,Male,25 - 45,African-American
402,0,2,Male,25 - 45,Caucasian
403,0,1,Male,Greater than 45,Caucasian
404,0,3,Male,Greater than 45,African-American
405,1,8,Male,25 - 45,African-American
406,1,1,Male,Greater than 45,Caucasian
407,0,2,Male,25 - 45,African-American
408,0,1,Male,Greater than 45,Other
409,0,3,Male,Less than 25,Hispanic
410,0,6,Female,25 - 45,Caucasian
411,0,1,Male,Greater than 45,Caucasian
412,0,7,Female,Less than 25,African-American
413,1,2,Female,25 - 45,African-American
414,0,6,Male,Greater than 45,African-American
415,1,2,Male,25 - 45,Caucasian
416,0,3,Male,Less than 25,Hispanic
417,0,3,Male,Less than 25,Caucasian
418,0,1,Female,Greater than 45,Caucasian
419,1,3,Male,25 - 45,African-American
420,1,5,Male,Less than 25,Caucasian
421,1,6,Male,25 - 45,African-American
422,0,1,Male,25 - 45,Other
423,1,7,Male,Less than 25,African-American
424,1,6,Male,25 - 45,Caucasian
425,0,10,Male,25 - 45,African-American
426,1,7,Male,Greater than 45,African-American
427,0,7,Male,Less than 25,African-American
428,1,1,Male,Greater than 45,Hispanic
429,0,4,Male,25 - 45,Caucasian
430,1,5,Male,Greater than 45,African-American
431,0,1,Male,25 - 45,Caucasian
432,0,4,Male,25 - 45,African-American
433,1,8,Male,Less than 25,Caucasian
434,0,1,Male,25 - 45,Caucasian
435,0,6,Male,25 - 45,African-American
436,1,10,Female,Less than 25,African-American
437,1,10,Male,Less than 25,Caucasian
438,0,1,Male,25 - 45,Caucasian
439,0,5,Female,Less than 25,Caucasian
440,0,1,Male,25 - 45,Caucasian
441,1,5,Male,25 - 45,Hispanic
442,1,10,Male,Less than 25,African-American
443,1,5,Male,25 - 45,Hispanic
444,1,2,Male,Less than 25,African-American
445,0,1,Male,Greater than 45,Caucasian
446,0,2,Female,Greater than 45,African-American
447,0,1,Male,25 - 45,African-American
448,0,3,Male,25 - 45,African-American
449,0,1,Male,Less than 25,Caucasian
450,0,2,Male,Greater than 45,African-American
451,1,10,Female,Greater than 45,African-American
452,1,1,Male,25 - 45,Caucasian
453,1,8,Male,Less than 25,Other
454,1,8,Male,25 - 45,African-American
455,0,8,Female,Greater than 45,African-American
456,1,6,Male,25 - 45,African-American
457,1,5,Male,25 - 45,African-American
458,1,5,Male,Greater than 45,Caucasian
459,1,4,Male,25 - 45,Caucasian
460,1,7,Female,25 - 45,Native American
461,1,3,Male,Greater than 45,African-American
462,1,9,Male,25 - 45,African-American
463,0,10,Male,25 - 45,African-American
464,0,1,Male,Greater than 45,Caucasian
465,0,1,Male,25 - 45,African-American
466,0,6,Male,Less than 25,African-American
467,1,9,Male,Greater than 45,African-American
468,1,7,Male,25 - 45,African-American
469,1,9,Female,Less than 25,African-American
470,0,1,Male,Greater than 45,African-American
471,1,6,Male,Greater than 45,African-American
472,1,5,Male,Less than 25,Caucasian
473,0,2,Male,25 - 45,African-American
474,1,10,Male,Less than 25,African-American
475,0,1,Male,Greater than 45,Caucasian
476,0,10,Male,Less than 25,Hispanic
477,0,2,Male,25 - 45,Caucasian
478,0,1,Male,Greater than 45,Caucasian
479,1,6,Male,25 - 45,Caucasian
480,0,1,Male,Greater than 45,Caucasian
481,1,1,Male,25 - 45,Hispanic
482,1,1,Male,Greater than 45,Caucasian
483,0,6,Male,25 - 45,Asian
484,0,1,Male,Greater than 45,Hispanic
485,0,4,Male,25 - 45,Hispanic
486,1,9,Female,Less than 25,Caucasian
487,1,9,Male,Less than 25,Caucasian
488,0,9,Male,25 - 45,African-American
489,1,7,Male,Greater than 45,Asian
490,0,2,Male,25 - 45,African-American
491,0,2,Female,25 - 45,Caucasian
492,1,9,Male,25 - 45,Caucasian
493,1,4,Male,25 - 45,Caucasian
494,0,1,Male,Greater than 45,African-American
495,1,4,Male,25 - 45,African-American
496,0,1,Female,Greater than 45,Caucasian
497,0,5,Male,25 - 45,African-American
498,1,5,Female,Less than 25,Hispanic
499,1,7,Male,25 - 45,African-American
500,1,3,Male,25 - 45,Caucasian
501,1,5,Male,25 - 45,Hispanic
502,0,3,Male,Greater than 45,Hispanic
503,1,6,Male,Greater than 45,African-American
504,0,5,Male,25 - 45,Caucasian
505,0,1,Male,Greater than 45,Caucasian
506,0,2,Male,25 - 45,Caucasian
507,0,7,Male,25 - 45,African-American
508,0,3,Male,Greater than 45,Caucasian
509,0,2,Female,25 - 45,African-American
510,0,5,Male,Greater than 45,Other
511,0,2,Female,25 - 45,African-American
512,0,1,Female,Greater than 45,Caucasian
513,0,4,Male,25 - 45,Hispanic
514,0,1,Male,25 - 45,Other
515,0,3,Male,25 - 45,African-American
516,0,4,Female,25 - 45,African-American
517,0,1,Male,25 - 45,Other
518,1,7,Male,Greater than 45,African-American
519,1,5,Male,25 - 45,African-American
520,0,2,Male,Less than 25,Caucasian
521,1,7,Male,Greater than 45,Caucasian
522,1,8,Male,Greater than 45,African-American
523,0,5,Male,Greater than 45,African-American
524,1,4,Male,Less than 25,African-American
525,1,4,Male,25 - 45,Caucasian
526,0,2,Male,Less than 25,Caucasian
527,0,9,Male,Less than 25,Caucasian
528,0,4,Male,25 - 45,Caucasian
529,1,3,Male,25 - 45,African-American
530,0,2,Male,25 - 45,African-American
531,1,4,Male,25 - 45,African-American
532,1,1,Male,25 - 45,Caucasian
533,1,3,Male,Less than 25,Caucasian
534,0,1,Male,25 - 45,Other
535,0,3,Male,25 - 45,Caucasian
536,0,10,Male,25 - 45,Hispanic
537,0,7,Male,25 - 45,African-American
538,1,7,Male,25 - 45,African-American
539,1,10,Male,Less than 25,Caucasian
540,1,10,Male,Less than 25,Caucasian
541,1,6,Male,Less than 25,Hispanic
542,0,1,Male,Greater than 45,Caucasian
543,1,9,Male,25 - 45,African-American
544,1,1,Male,25 - 45,Hispanic
545,1,6,Male,Greater than 45,Caucasian
546,0,3,Male,25 - 45,African-American
547,0,5,Male,25 - 45,African-American
548,0,2,Male,Less than 25,Caucasian
549,0,1,Female,Greater than 45,Hispanic
550,0,5,Male,25 - 45,African-American
551,0,6,Male,Greater than 45,African-American
552,0,6,Male,25 - 45,African-American
553,0,1,Female,Greater than 45,Other
554,1,3,Male,25 - 45,African-American
555,1,5,Male,Less than 25,African-American
556,0,1,Male,Greater than 45,Caucasian
557,1,7,Male,Less than 25,African-American
558,0,3,Male,Greater than 45,African-American
559,0,1,Male,25 - 45,African-American
560,0,6,Male,25 - 45,Caucasian
561,1,8,Male,25 - 45,African-American
562,0,3,Female,25 - 45,African-American
563,0,5,Male,Less than 25,African-American
564,1,4,Male,25 - 45,Caucasian
565,0,4,Male,25 - 45,Caucasian
566,0,8,Male,Less than 25,Hispanic
567,1,4,Male,25 - 45,African-American
568,0,3,Male,25 - 45,Caucasian
569,1,2,Female,25 - 45,African-American
570,0,1,Male,25 - 45,Caucasian
571,0,7,Male,25 - 45,African-American
572,0,6,Male,25 - 45,Hispanic
573,0,3,Female,25 - 45,African-American
574,0,4,Male,Less than 25,Caucasian
575,0,1,Male,Greater than 45,Hispanic
576,1,1,Female,Greater than 45,Caucasian
577,1,1,Male,Greater than 45,Caucasian
578,1,6,Male,25 - 45,Caucasian
579,1,1,Male,Greater than 45,Caucasian
580,0,1,Female,Greater than 45,Caucasian
581,1,6,Male,25 - 45,African-American
582,0,3,Female,Less than 25,Caucasian
583,0,4,Male,Less than 25,Caucasian
584,1,6,Male,25 - 45,Other
585,1,10,Male,Less than 25,African-American
586,0,1,Male,25 - 45,Hispanic
587,0,2,Male,25 - 45,Other
588,1,7,Male,Less than 25,African-American
589,0,8,Male,25 - 45,African-American
590,0,3,Male,25 - 45,African-American
591,0,7,Female,Less than 25,Caucasian
592,0,2,Male,25 - 45,African-American
593,1,2,Male,Less than 25,Hispanic
594,0,1,Male,25 - 45,Hispanic
595,0,5,Female,Less than 25,Caucasian
596,0,3,Male,Less than 25,African-American
597,1,8,Male,25 - 45,African-American
598,1,7,Male,25 - 45,African-American
599,1,5,Male,Greater than 45,African-American
600,0,2,Male,25 - 45,African-American
601,1,10,Male,Less than 25,African-American
602,0,1,Female,25 - 45,African-American
603,1,10,Male,25 - 45,Hispanic
604,0,7,Male,25 - 45,African-American
605,1,6,Male,25 - 45,Caucasian
606,0,1,Male,25 - 45,African-American
607,0,1,Female,Greater than 45,Caucasian
608,0,1,Male,25 - 45,Caucasian
609,1,7,Male,25 - 45,African-American
610,0,1,Male,25 - 45,Caucasian
611,1,8,Male,Less than 25,African-American
612,0,1,Male,25 - 45,Hispanic
613,1,5,Male,25 - 45,African-American
614,0,1,Male,Greater than 45,Caucasian
615,1,5,Male,25 - 45,Hispanic
616,1,2,Male,25 - 45,Caucasian
617,0,3,Male,25 - 45,African-American
618,0,8,Male,25 - 45,African-American
619,1,3,Male,Greater than 45,African-American
620,0,10,Female,Less than 25,Caucasian
621,0,5,Female,Less than 25,African-American
622,1,10,Female,Less than 25,Caucasian
623,0,1,Male,25 - 45,African-American
624,0,1,Male,25 - 45,African-American
625,1,6,Male,Greater than 45,African-American
626,1,10,Male,Less than 25,African-American
627,0,2,Male,25 - 45,Hispanic
628,1,9,Male,Less than 25,African-American
629,1,7,Male,25 - 45,Caucasian
630,0,9,Male,25 - 45,Caucasian
631,0,5,Male,25 - 45,Caucasian
632,1,5,Male,Less than 25,Caucasian
633,0,1,Male,25 - 45,African-American
634,1,9,Male,25 - 45,African-American
635,1,3,Female,25 - 45,Caucasian
636,0,9,Male,Less than 25,Other
637,1,2,Female,Greater than 45,African-American
638,1,4,Female,Greater than 45,Caucasian
639,0,3,Male,Less than 25,African-American
640,0,8,Female,Less than 25,African-American
641,0,2,Male,25 - 45,African-American
642,1,10,Male,Less than 25,Caucasian
643,1,4,Male,Less than 25,Caucasian
644,1,4,Male,25 - 45,Caucasian
645,1,8,Male,25 - 45,African-American
646,0,6,Female,25 - 45,African-American
647,0,6,Female,Greater than 45,Caucasian
648,0,7,Male,Less than 25,African-American
649,1,2,Male,25 - 45,Caucasian
650,1,8,Male,25 - 45,African-American
651,1,4,Male,Less than 25,African-American
652,1,2,Female,25 - 45,African-American
653,1,7,Male,25 - 45,African-American
654,1,1,Male,25 - 45,Caucasian
655,1,10,Male,25 - 45,African-American
656,0,9,Male,Greater than 45,African-American
657,0,7,Male,Less than 25,African-American
658,1,9,Male,25 - 45,African-American
659,1,6,Male,Less than 25,Hispanic
660,1,2,Male,Greater than 45,African-American
661,0,4,Male,25 - 45,African-American
662,0,3,Female,25 - 45,African-American
663,0,1,Male,Greater than 45,Caucasian
664,0,1,Male,Greater than 45,Hispanic
665,0,5,Male,Less than 25,African-American
666,0,4,Male,25 - 45,African-American
667,1,9,Male,25 - 45,Other
668,0,5,Male,25 - 45,Caucasian
669,0,7,Male,25 - 45,African-American
670,0,1,Male,Greater than 45,Other
671,0,1,Female,25 - 45,African-American
672,0,3,Female,Greater than 45,Caucasian
673,0,2,Male,25 - 45,African-American
674,1,7,Male,25 - 45,African-American
675,1,9,Male,Greater than 45,African-American
676,0,9,Male,Less than 25,African-American
677,0,2,Female,25 - 45,Caucasian
678,1,9,Female,25 - 45,Caucasian
679,1,9,Male,25 - 45,Hispanic
680,1,10,Male,Less than 25,African-American
681,0,4,Male,25 - 45,African-American
682,1,6,Male,Less than 25,Asian
683,1,1,Male,Greater than 45,Caucasian
684,1,9,Male,25 - 45,African-American
685,0,2,Female,25 - 45,African-American
686,0,7,Male,25 - 45,African-American
687,0,5,Male,25 - 45,African-American
688,0,5,Male,25 - 45,African-American
689,1,8,Male,25 - 45,African-American
690,0,1,Male,Greater than 45,Caucasian
691,1,2,Male,25 - 45,African-American
692,0,10,Male,Less than 25,African-American
693,1,8,Male,25 - 45,African-American
694,1,5,Male,Greater than 45,Caucasian
695,1,7,Male,Greater than 45,African-American
